/m/0mkg,/m/042v_gx,/m/02pprs,/m/0192l,/m/018j2,/m/01vj9c,/m/0bm02,/m/018vs,/m/01c3q,/m/0395lw,/m/0gy1t2s,/m/0l14_3,/m/01kcd,/m/0y64j,/m/01xqw,/m/0150b9,/m/02bk07,/t/dd00005,/m/0f8s22,/m/0l14jd,/m/03w41f,/m/01wy6,/m/025cbm,/m/020w2,/m/0239kh,/m/0bm0k,/m/01qbl,/m/08j51y,/m/02bxd,/m/02fsn,/m/01d380,/m/026t6,/m/02hnl,/m/0cfdd,/m/02k_mr,/m/02sgy,/m/01s0ps,/m/03xq_f,/t/dd00004,/m/02p01q,/m/0l14j_,/m/0319l,/m/0dwtp,/m/0mbct,/m/0342h,/m/03l9g,/m/03gvt,/m/03qjg,/m/03m5k,/m/03q5t,/m/03qtq,/m/03p19w,/m/027m70_,/m/05148p4,/t/dd00003,/m/0j45pbj,/m/04rzd,/m/01c194,/m/0xzly,/m/0dwsp,/m/0gkd1,/m/05229,/m/04szw,/m/05kms,/m/05pd6,/m/013y1f,/m/0l14md,/m/05r5c,/m/0d8_n,/m/0fx80y,/m/0_ksk,/m/06bxc,/m/05r5wn,/m/0bxl5,/m/03t3fj,/m/01v1d8,/m/023vsd,/m/01b82r,/m/06ncr,/m/01hgjl,/m/0l14l2,/m/015lz1,/m/0l14t7,/m/0jtg0,/m/06rvn,/m/03t22m,/m/06w87,/m/0l156b,/m/02qmj0d,/m/07s0s5r,/m/0l14qv,/t/dd00006,/m/01p970,/m/07brj,/m/01glhc,/m/07kc_,/m/011k_j,/m/07k1x,/m/07c6l,/m/07gql,/m/016622,/m/07n_g,/m/07xzm,/m/0dwt5,/m/07y_7,/m/026fgl,/m/085jw,/m/01sm1g,/m/01swy6,/m/01bns_
4.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,7.0,5.0,8.0,0.0,1.0,10.0,4.0,5.0,9.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,9.0,8.0,5.0,5.0,4.0,3.0,5.0,8.0,6.0,4.0,4.0,5.0,2.0,8.0,8.0,4.0,9.0,3.0,5.0,8.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,8.0,9.0,3.0,7.0,5.0,6.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,9.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,5.0,3.0,8.0,5.0,4.0,5.0,9.0,4.0,3.0,9.0,5.0
3.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,1.0,0.0,9.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,3.0,2.0,4.0,7.0,5.0,3.0,3.0,4.0,1.0,7.0,7.0,3.0,8.0,2.0,4.0,7.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,7.0,8.0,2.0,6.0,4.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,8.0,3.0,2.0,5.0,3.0,3.0,6.0,4.0,4.0,2.0,7.0,4.0,3.0,4.0,8.0,3.0,2.0,8.0,4.0
8.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,5.0,6.0,8.0,8.0,9.0,9.0,6.0,9.0,9.0,6.0,8.0,6.0,9.0,11.0,9.0,6.0,10.0,9.0,0.0,8.0,9.0,1.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,4.0,9.0,9.0,10.0,9.0,9.0,4.0,10.0,8.0,8.0,9.0,10.0,4.0,6.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,10.0,8.0,2.0,9.0,9.0,11.0,11.0,10.0,4.0,4.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,3.0,9.0,9.0,9.0,6.0,9.0,10.0,9.0,7.0,8.0,9.0,9.0,9.0
2.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,3.0,3.0,6.0,5.0,7.0,6.0,2.0,6.0,3.0,5.0,3.0,6.0,4.0,3.0,8.0,0.0,3.0,7.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,6.0,3.0,3.0,4.0,3.0,3.0,6.0,4.0,2.0,2.0,3.0,4.0,6.0,6.0,2.0,7.0,3.0,3.0,6.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,6.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,3.0,2.0,2.0,6.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,7.0,2.0,3.0,7.0,3.0
3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,6.0,7.0,1.0,3.0,4.0,2.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,5.0,4.0,9.0,3.0,0.0,8.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,5.0,4.0,4.0,7.0,5.0,3.0,3.0,4.0,5.0,7.0,7.0,3.0,8.0,4.0,4.0,7.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,7.0,8.0,4.0,6.0,6.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,8.0,5.0,4.0,5.0,3.0,5.0,6.0,4.0,4.0,4.0,7.0,4.0,5.0,2.0,8.0,3.0,4.0,8.0,4.0
7.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,8.0,4.0,5.0,7.0,7.0,8.0,8.0,5.0,8.0,8.0,5.0,7.0,5.0,8.0,10.0,8.0,5.0,9.0,8.0,1.0,7.0,8.0,0.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,3.0,8.0,8.0,9.0,8.0,8.0,3.0,9.0,7.0,7.0,8.0,9.0,3.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,9.0,7.0,1.0,8.0,8.0,10.0,10.0,9.0,3.0,3.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,2.0,8.0,8.0,8.0,5.0,8.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0
3.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,3.0,2.0,9.0,3.0,4.0,8.0,0.0,2.0,3.0,2.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,3.0,2.0,4.0,7.0,5.0,3.0,3.0,4.0,3.0,7.0,7.0,3.0,8.0,2.0,4.0,7.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,7.0,8.0,2.0,6.0,2.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,4.0,8.0,1.0,2.0,5.0,3.0,1.0,6.0,4.0,4.0,2.0,7.0,4.0,3.0,4.0,8.0,3.0,2.0,8.0,4.0
3.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,3.0,2.0,9.0,3.0,4.0,8.0,2.0,0.0,1.0,4.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,3.0,2.0,4.0,7.0,5.0,3.0,3.0,4.0,3.0,7.0,7.0,3.0,8.0,2.0,4.0,7.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,7.0,8.0,2.0,6.0,4.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,8.0,3.0,2.0,5.0,3.0,3.0,6.0,4.0,4.0,2.0,7.0,4.0,3.0,4.0,8.0,3.0,2.0,8.0,4.0
4.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,7.0,5.0,8.0,4.0,3.0,10.0,4.0,5.0,9.0,3.0,1.0,0.0,5.0,6.0,6.0,6.0,9.0,8.0,5.0,5.0,4.0,3.0,5.0,8.0,6.0,4.0,4.0,5.0,4.0,8.0,8.0,4.0,9.0,3.0,5.0,8.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,8.0,9.0,3.0,7.0,5.0,6.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,9.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,5.0,3.0,8.0,5.0,4.0,5.0,9.0,4.0,3.0,9.0,5.0
5.0,7.0,7.0,5.0,6.0,5.0,3.0,7.0,6.0,8.0,9.0,5.0,5.0,6.0,6.0,9.0,8.0,10.0,9.0,5.0,9.0,6.0,8.0,6.0,9.0,5.0,4.0,11.0,5.0,6.0,10.0,2.0,4.0,5.0,0.0,7.0,7.0,7.0,10.0,9.0,6.0,6.0,5.0,4.0,6.0,9.0,7.0,5.0,5.0,6.0,5.0,9.0,9.0,5.0,10.0,4.0,6.0,9.0,5.0,5.0,7.0,5.0,4.0,6.0,5.0,6.0,3.0,6.0,7.0,5.0,9.0,10.0,4.0,8.0,2.0,7.0,9.0,9.0,6.0,5.0,5.0,9.0,5.0,6.0,1.0,7.0,7.0,5.0,6.0,7.0,6.0,10.0,3.0,4.0,7.0,5.0,3.0,8.0,6.0,6.0,4.0,9.0,6.0,5.0,6.0,10.0,5.0,4.0,10.0,6.0
4.0,2.0,6.0,4.0,3.0,4.0,6.0,2.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,7.0,5.0,8.0,6.0,5.0,10.0,4.0,5.0,9.0,5.0,5.0,6.0,7.0,0.0,6.0,6.0,9.0,8.0,5.0,5.0,6.0,5.0,1.0,8.0,6.0,4.0,4.0,5.0,6.0,8.0,8.0,4.0,9.0,5.0,3.0,8.0,6.0,6.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,6.0,2.0,8.0,9.0,5.0,7.0,7.0,6.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,3.0,6.0,6.0,2.0,6.0,5.0,2.0,5.0,9.0,6.0,5.0,2.0,4.0,6.0,7.0,5.0,5.0,5.0,8.0,3.0,6.0,5.0,9.0,4.0,5.0,9.0,3.0
4.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,1.0,5.0,8.0,6.0,5.0,10.0,4.0,5.0,9.0,5.0,5.0,6.0,7.0,6.0,0.0,4.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,8.0,4.0,4.0,4.0,3.0,6.0,8.0,8.0,2.0,9.0,5.0,5.0,8.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,1.0,6.0,4.0,8.0,9.0,5.0,1.0,7.0,4.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,9.0,6.0,5.0,6.0,4.0,6.0,7.0,5.0,5.0,5.0,8.0,5.0,6.0,5.0,9.0,4.0,5.0,9.0,5.0
4.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,5.0,5.0,8.0,6.0,5.0,10.0,4.0,5.0,9.0,5.0,5.0,6.0,7.0,6.0,4.0,0.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,8.0,2.0,4.0,4.0,3.0,6.0,8.0,8.0,2.0,9.0,5.0,5.0,8.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,6.0,4.0,8.0,9.0,5.0,5.0,7.0,4.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,9.0,6.0,5.0,6.0,4.0,6.0,7.0,5.0,5.0,5.0,8.0,5.0,6.0,5.0,9.0,4.0,5.0,9.0,5.0
7.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,2.0,7.0,7.0,7.0,8.0,10.0,8.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,0.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,2.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,2.0,8.0,10.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,1.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,2.0,9.0,8.0,9.0,7.0,9.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,2.0,8.0
6.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,3.0,4.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,4.0,6.0,4.0,7.0,9.0,7.0,4.0,8.0,7.0,4.0,6.0,7.0,3.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,0.0,7.0,7.0,8.0,7.0,7.0,2.0,8.0,6.0,6.0,7.0,8.0,2.0,4.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,2.0,7.0,7.0,9.0,9.0,8.0,2.0,2.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,1.0,7.0,7.0,7.0,4.0,7.0,8.0,7.0,5.0,6.0,7.0,7.0,7.0
3.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,2.0,6.0,4.0,7.0,5.0,4.0,9.0,3.0,4.0,8.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,8.0,7.0,0.0,4.0,5.0,4.0,4.0,7.0,5.0,3.0,3.0,4.0,5.0,7.0,7.0,3.0,8.0,4.0,4.0,7.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,7.0,8.0,4.0,6.0,6.0,5.0,7.0,7.0,2.0,3.0,3.0,7.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,8.0,5.0,4.0,5.0,3.0,5.0,6.0,4.0,4.0,4.0,7.0,4.0,5.0,4.0,8.0,1.0,4.0,8.0,4.0
3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,6.0,7.0,3.0,1.0,2.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,2.0,7.0,5.0,4.0,9.0,3.0,4.0,8.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,8.0,7.0,4.0,0.0,5.0,4.0,4.0,7.0,5.0,3.0,3.0,4.0,5.0,7.0,7.0,3.0,8.0,4.0,4.0,7.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,7.0,8.0,4.0,6.0,6.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,8.0,5.0,4.0,5.0,3.0,5.0,6.0,2.0,2.0,4.0,7.0,4.0,5.0,4.0,8.0,3.0,4.0,8.0,4.0
4.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,7.0,5.0,8.0,4.0,3.0,10.0,4.0,5.0,9.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,9.0,8.0,5.0,5.0,0.0,3.0,5.0,8.0,6.0,4.0,4.0,5.0,4.0,8.0,8.0,4.0,9.0,1.0,5.0,8.0,4.0,2.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,8.0,9.0,3.0,7.0,5.0,6.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,6.0,6.0,2.0,5.0,6.0,5.0,9.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,5.0,3.0,8.0,5.0,2.0,5.0,9.0,4.0,3.0,9.0,5.0
3.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,3.0,2.0,9.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,3.0,0.0,4.0,7.0,5.0,3.0,3.0,4.0,3.0,7.0,7.0,3.0,8.0,2.0,4.0,7.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,7.0,8.0,2.0,6.0,4.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,8.0,3.0,2.0,5.0,3.0,3.0,6.0,4.0,4.0,2.0,7.0,4.0,3.0,4.0,8.0,3.0,2.0,8.0,4.0
3.0,1.0,5.0,3.0,2.0,3.0,5.0,1.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,6.0,4.0,7.0,5.0,4.0,9.0,3.0,4.0,8.0,4.0,4.0,5.0,6.0,1.0,5.0,5.0,8.0,7.0,4.0,4.0,5.0,4.0,0.0,7.0,5.0,3.0,3.0,4.0,5.0,7.0,7.0,3.0,8.0,4.0,2.0,7.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,7.0,8.0,4.0,6.0,6.0,5.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,2.0,5.0,5.0,1.0,5.0,4.0,1.0,4.0,8.0,5.0,4.0,1.0,3.0,5.0,6.0,4.0,4.0,4.0,7.0,2.0,5.0,4.0,8.0,3.0,4.0,8.0,2.0
6.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,3.0,4.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,4.0,6.0,4.0,7.0,9.0,7.0,4.0,8.0,7.0,4.0,6.0,7.0,3.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,2.0,7.0,7.0,8.0,7.0,7.0,0.0,8.0,6.0,6.0,7.0,8.0,2.0,4.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,2.0,7.0,7.0,9.0,9.0,8.0,2.0,2.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,1.0,7.0,7.0,7.0,4.0,7.0,8.0,7.0,5.0,6.0,7.0,7.0,7.0
4.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,5.0,5.0,8.0,6.0,5.0,10.0,4.0,5.0,9.0,5.0,5.0,6.0,7.0,6.0,4.0,2.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,8.0,0.0,4.0,4.0,3.0,6.0,8.0,8.0,2.0,9.0,5.0,5.0,8.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,6.0,4.0,8.0,9.0,5.0,5.0,7.0,4.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,9.0,6.0,5.0,6.0,4.0,6.0,7.0,5.0,5.0,5.0,8.0,5.0,6.0,5.0,9.0,4.0,5.0,9.0,5.0
2.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,3.0,3.0,6.0,5.0,7.0,6.0,2.0,6.0,3.0,5.0,3.0,6.0,4.0,3.0,8.0,2.0,3.0,7.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,6.0,3.0,3.0,4.0,3.0,3.0,6.0,4.0,0.0,2.0,3.0,4.0,6.0,6.0,2.0,7.0,3.0,3.0,6.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,6.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,3.0,2.0,2.0,6.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,7.0,2.0,3.0,7.0,3.0
2.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,3.0,3.0,6.0,5.0,7.0,6.0,2.0,6.0,3.0,5.0,3.0,6.0,4.0,3.0,8.0,2.0,3.0,7.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,6.0,3.0,3.0,4.0,3.0,3.0,6.0,4.0,2.0,0.0,3.0,4.0,6.0,6.0,2.0,7.0,3.0,3.0,6.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,6.0,7.0,3.0,5.0,5.0,4.0,6.0,6.0,3.0,2.0,2.0,6.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,7.0,2.0,3.0,7.0,3.0
3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,8.0,7.0,3.0,7.0,4.0,4.0,4.0,7.0,5.0,4.0,9.0,3.0,4.0,8.0,4.0,4.0,5.0,6.0,5.0,3.0,3.0,8.0,7.0,4.0,4.0,5.0,4.0,4.0,7.0,3.0,3.0,3.0,0.0,5.0,7.0,7.0,1.0,8.0,4.0,4.0,7.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,7.0,8.0,4.0,4.0,6.0,3.0,7.0,7.0,4.0,3.0,3.0,7.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,8.0,5.0,4.0,5.0,3.0,5.0,6.0,4.0,4.0,4.0,7.0,4.0,5.0,4.0,8.0,3.0,4.0,8.0,4.0
4.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,7.0,8.0,4.0,4.0,5.0,5.0,8.0,7.0,9.0,8.0,4.0,8.0,5.0,7.0,5.0,8.0,2.0,1.0,10.0,4.0,5.0,9.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,9.0,8.0,5.0,5.0,4.0,3.0,5.0,8.0,6.0,4.0,4.0,5.0,0.0,8.0,8.0,4.0,9.0,3.0,5.0,8.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,8.0,9.0,3.0,7.0,5.0,6.0,8.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,9.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,5.0,3.0,8.0,5.0,4.0,5.0,9.0,4.0,3.0,9.0,5.0
6.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,3.0,4.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,4.0,6.0,4.0,7.0,9.0,7.0,4.0,8.0,7.0,4.0,6.0,7.0,3.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,2.0,7.0,7.0,8.0,7.0,7.0,2.0,8.0,6.0,6.0,7.0,8.0,0.0,4.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,2.0,7.0,7.0,9.0,9.0,8.0,2.0,2.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,1.0,7.0,7.0,7.0,4.0,7.0,8.0,7.0,5.0,6.0,7.0,7.0,7.0
6.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,1.0,4.0,6.0,6.0,7.0,7.0,2.0,7.0,7.0,2.0,6.0,2.0,7.0,9.0,7.0,2.0,8.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,4.0,7.0,7.0,8.0,7.0,7.0,4.0,8.0,6.0,6.0,7.0,8.0,4.0,0.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,4.0,7.0,7.0,9.0,9.0,8.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,3.0,7.0,7.0,7.0,2.0,7.0,8.0,7.0,3.0,6.0,7.0,7.0,7.0
